category,score,path,relative_to_project,size_mb,suffix
csv_metric_or_report,4,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/metrics/casrnet_student_25d_finetuned_tta_threshold_search.csv,outputs/metrics/casrnet_student_25d_finetuned_tta_threshold_search.csv,0.045,.csv
csv_metric_or_report,3,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/metrics/casrnet_student_25d_weighted_tta_threshold_search.csv,outputs/metrics/casrnet_student_25d_weighted_tta_threshold_search.csv,0.056,.csv
csv_metric_or_report,3,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/metrics/casrnet_25d_finetuned_per_slice_metrics.csv,outputs/metrics/casrnet_25d_finetuned_per_slice_metrics.csv,0.032,.csv
csv_metric_or_report,3,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/metrics/casrnet_student_25d_weighted_fine_threshold_search.csv,outputs/metrics/casrnet_student_25d_weighted_fine_threshold_search.csv,0.03,.csv
csv_metric_or_report,3,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/metrics/casrnet_boundary_metrics_per_slice.csv,outputs/metrics/casrnet_boundary_metrics_per_slice.csv,0.02,.csv
csv_metric_or_report,3,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/metrics/casrnet_student_refinement_25d_finetuned_history.csv,outputs/metrics/casrnet_student_refinement_25d_finetuned_history.csv,0.004,.csv
csv_metric_or_report,3,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/metrics/casrnet_25d_finetuned_per_case_metrics.csv,outputs/metrics/casrnet_25d_finetuned_per_case_metrics.csv,0.0,.csv
csv_metric_or_report,3,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/metrics/casrnet_boundary_metrics_per_case.csv,outputs/metrics/casrnet_boundary_metrics_per_case.csv,0.0,.csv
csv_metric_or_report,2,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/metrics/casrnet_ours_final_metrics_per_slice.csv,outputs/metrics/casrnet_ours_final_metrics_per_slice.csv,0.252,.csv
csv_metric_or_report,2,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/metrics/student_tta_threshold_search.csv,outputs/metrics/student_tta_threshold_search.csv,0.011,.csv
csv_metric_or_report,2,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/metrics/casrnet_student_refinement_25d_weighted_history.csv,outputs/metrics/casrnet_student_refinement_25d_weighted_history.csv,0.007,.csv
csv_metric_or_report,2,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/metrics/casrnet_student_refinement_25d_strict_history.csv,outputs/metrics/casrnet_student_refinement_25d_strict_history.csv,0.004,.csv
csv_metric_or_report,2,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/reports/CASRNet_Qualitative_Prediction_5x5_metadata.csv,outputs/reports/CASRNet_Qualitative_Prediction_5x5_metadata.csv,0.001,.csv
csv_metric_or_report,2,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/tables/casrnet_boundary_accuracy_summary.csv,outputs/tables/casrnet_boundary_accuracy_summary.csv,0.0,.csv
csv_metric_or_report,1,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/metrics/threshold_postprocessing_search.csv,outputs/metrics/threshold_postprocessing_search.csv,0.011,.csv
csv_metric_or_report,1,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/metrics/tta_threshold_postprocessing_search.csv,outputs/metrics/tta_threshold_postprocessing_search.csv,0.011,.csv
csv_metric_or_report,1,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/metrics/teacher_assisted_student_refinement_strict_history.csv,outputs/metrics/teacher_assisted_student_refinement_strict_history.csv,0.009,.csv
csv_metric_or_report,1,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/metrics/teacher_initialized_student_soft_distillation_history.csv,outputs/metrics/teacher_initialized_student_soft_distillation_history.csv,0.004,.csv
