path,name,suffix,parent,size_bytes
/kaggle/input/datasets/mathurinache/mosmeddata-chest-ct-scans-with-covid19/MosMedData Chest CT Scans with COVID-19 Related Findings COVID19_1110 1.0/dataset_registry.xlsx,dataset_registry.xlsx,.xlsx,MosMedData Chest CT Scans with COVID-19 Related Findings COVID19_1110 1.0,35235
/kaggle/input/datasets/mathurinache/mosmeddata-chest-ct-scans-with-covid19/MosMedData Chest CT Scans with COVID-19 Related Findings COVID19_1110 1.0/LICENSE,LICENSE,,MosMedData Chest CT Scans with COVID-19 Related Findings COVID19_1110 1.0,30712
/kaggle/input/datasets/mathurinache/mosmeddata-chest-ct-scans-with-covid19/MosMedData Chest CT Scans with COVID-19 Related Findings COVID19_1110 1.0/README_RU.md,README_RU.md,.md,MosMedData Chest CT Scans with COVID-19 Related Findings COVID19_1110 1.0,14554
/kaggle/input/datasets/mathurinache/mosmeddata-chest-ct-scans-with-covid19/MosMedData Chest CT Scans with COVID-19 Related Findings COVID19_1110 1.0/README_EN.pdf,README_EN.pdf,.pdf,MosMedData Chest CT Scans with COVID-19 Related Findings COVID19_1110 1.0,286913
/kaggle/input/datasets/mathurinache/mosmeddata-chest-ct-scans-with-covid19/MosMedData Chest CT Scans with COVID-19 Related Findings COVID19_1110 1.0/README_EN.md,README_EN.md,.md,MosMedData Chest CT Scans with COVID-19 Related Findings COVID19_1110 1.0,9466
/kaggle/input/datasets/mathurinache/mosmeddata-chest-ct-scans-with-covid19/MosMedData Chest CT Scans with COVID-19 Related Findings COVID19_1110 1.0/README_RU.pdf,README_RU.pdf,.pdf,MosMedData Chest CT Scans with COVID-19 Related Findings COVID19_1110 1.0,296923
/kaggle/input/datasets/mathurinache/mosmeddata-chest-ct-scans-with-covid19/MosMedData Chest CT Scans with COVID-19 Related Findings COVID19_1110 1.0/masks/study_0257_mask.nii,study_0257_mask.nii,.nii,masks,19923296
/kaggle/input/datasets/mathurinache/mosmeddata-chest-ct-scans-with-covid19/MosMedData Chest CT Scans with COVID-19 Related Findings COVID19_1110 1.0/masks/study_0278_mask.nii,study_0278_mask.nii,.nii,masks,23593312
/kaggle/input/datasets/mathurinache/mosmeddata-chest-ct-scans-with-covid19/MosMedData Chest CT Scans with COVID-19 Related Findings COVID19_1110 1.0/masks/study_0259_mask.nii,study_0259_mask.nii,.nii,masks,19399008
/kaggle/input/datasets/mathurinache/mosmeddata-chest-ct-scans-with-covid19/MosMedData Chest CT Scans with COVID-19 Related Findings COVID19_1110 1.0/masks/study_0272_mask.nii,study_0272_mask.nii,.nii,masks,19399008
