split,case_id,slice_idx,image_prev_path,image_path,image_next_path,infection_mask_path,lung_mask_path,pseudo_label_path,confidence_mask_path,teacher_prob_mean,pseudo_pixels,confidence_pixels,confidence_ratio,pseudo_dice_vs_gt,scribble_pixels
train,coronacases_002,7,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0007.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0007.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0008.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0007.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0007.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels_25d_strict/coronacases_002_slice_0007.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/confidence_masks_25d_strict/coronacases_002_slice_0007.npy,7.60491580820144e-09,0,128,0.001953125,1.0,0
train,coronacases_002,8,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0007.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0008.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0009.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0008.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0008.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels_25d_strict/coronacases_002_slice_0008.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/confidence_masks_25d_strict/coronacases_002_slice_0008.npy,3.3959508538572436e-09,0,128,0.001953125,1.0,0
train,coronacases_002,9,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0008.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0009.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0010.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0009.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0009.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels_25d_strict/coronacases_002_slice_0009.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/confidence_masks_25d_strict/coronacases_002_slice_0009.npy,2.181652192234651e-09,0,220,0.00335693359375,1.0,0
train,coronacases_002,10,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0009.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0010.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0011.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0010.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0010.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels_25d_strict/coronacases_002_slice_0010.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/confidence_masks_25d_strict/coronacases_002_slice_0010.npy,8.009165775035854e-09,0,469,0.0071563720703125,1.0,0
train,coronacases_002,11,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0010.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0011.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0012.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0011.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0011.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels_25d_strict/coronacases_002_slice_0011.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/confidence_masks_25d_strict/coronacases_002_slice_0011.npy,7.503994758906174e-09,0,539,0.0082244873046875,1.0,0
train,coronacases_002,12,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0011.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0012.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0013.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0012.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0012.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels_25d_strict/coronacases_002_slice_0012.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/confidence_masks_25d_strict/coronacases_002_slice_0012.npy,1.2536119697870163e-08,0,576,0.0087890625,1.0,0
train,coronacases_002,13,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0012.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0013.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0014.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0013.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0013.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels_25d_strict/coronacases_002_slice_0013.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/confidence_masks_25d_strict/coronacases_002_slice_0013.npy,3.738349718673817e-08,0,954,0.014556884765625,1.0,0
train,coronacases_002,14,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0013.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0014.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0015.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0014.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0014.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels_25d_strict/coronacases_002_slice_0014.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/confidence_masks_25d_strict/coronacases_002_slice_0014.npy,3.6936569358658744e-08,0,1111,0.0169525146484375,1.0,0
train,coronacases_002,15,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0014.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0015.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0016.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0015.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0015.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels_25d_strict/coronacases_002_slice_0015.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/confidence_masks_25d_strict/coronacases_002_slice_0015.npy,3.982066942853635e-08,0,1231,0.0187835693359375,1.0,0
train,coronacases_002,16,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0015.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0016.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0017.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0016.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0016.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels_25d_strict/coronacases_002_slice_0016.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/confidence_masks_25d_strict/coronacases_002_slice_0016.npy,4.2301451230741804e-08,0,1251,0.0190887451171875,1.0,0
