split,case_id,slice_idx,teacher_prob_path,image_path,infection_mask_path,lung_mask_path,scribble_path,prob_min,prob_max,prob_mean
test,study_0256,3,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0003_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_003.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_003.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_003.npy,data/dataset2_mosmed/scribbles/study_0256_slice_003.npy,0.00027363788103684783,0.18353159725666046,0.027812670916318893
test,study_0256,4,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0004_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_004.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_004.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_004.npy,data/dataset2_mosmed/scribbles/study_0256_slice_004.npy,3.75494928448461e-05,0.8552178144454956,0.0014532353961840272
test,study_0256,5,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0005_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_005.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_005.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_005.npy,data/dataset2_mosmed/scribbles/study_0256_slice_005.npy,3.465876943664625e-05,0.9942533373832703,0.001570716965943575
test,study_0256,6,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0006_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_006.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_006.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_006.npy,data/dataset2_mosmed/scribbles/study_0256_slice_006.npy,2.9956898288219236e-05,0.9999889135360718,0.0038680199068039656
test,study_0256,7,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0007_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_007.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_007.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_007.npy,data/dataset2_mosmed/scribbles/study_0256_slice_007.npy,2.922067687904928e-05,0.9999969005584717,0.007525001186877489
test,study_0256,8,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0008_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_008.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_008.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_008.npy,data/dataset2_mosmed/scribbles/study_0256_slice_008.npy,2.5124629246420227e-05,0.9999827742576599,0.007601967081427574
test,study_0256,9,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0009_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_009.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_009.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_009.npy,data/dataset2_mosmed/scribbles/study_0256_slice_009.npy,2.791082442854531e-05,0.984341561794281,0.0022526546381413937
test,study_0256,10,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0010_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_010.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_010.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_010.npy,data/dataset2_mosmed/scribbles/study_0256_slice_010.npy,4.587904186337255e-05,0.9802783131599426,0.0017830915749073029
test,study_0256,11,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0011_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_011.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_011.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_011.npy,data/dataset2_mosmed/scribbles/study_0256_slice_011.npy,4.1191909986082464e-05,0.9999859929084778,0.005739470012485981
test,study_0256,12,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0012_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_012.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_012.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_012.npy,data/dataset2_mosmed/scribbles/study_0256_slice_012.npy,1.4238017683965154e-05,0.9999963045120239,0.004590465687215328
test,study_0256,13,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0013_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_013.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_013.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_013.npy,data/dataset2_mosmed/scribbles/study_0256_slice_013.npy,3.401728463359177e-05,0.21073287725448608,0.000461347633972764
test,study_0256,14,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0014_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_014.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_014.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_014.npy,data/dataset2_mosmed/scribbles/study_0256_slice_014.npy,6.526418292196468e-05,0.9870120882987976,0.004002546891570091
test,study_0256,15,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0015_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_015.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_015.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_015.npy,data/dataset2_mosmed/scribbles/study_0256_slice_015.npy,3.1745345040690154e-05,0.9990209341049194,0.00330475065857172
test,study_0256,16,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0016_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_016.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_016.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_016.npy,data/dataset2_mosmed/scribbles/study_0256_slice_016.npy,3.310399776523809e-08,0.2069852501153946,0.0005371045554056764
test,study_0256,17,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0017_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_017.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_017.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_017.npy,data/dataset2_mosmed/scribbles/study_0256_slice_017.npy,3.4640139347175136e-05,0.04298615828156471,0.0007496675825677812
test,study_0256,18,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0018_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_018.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_018.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_018.npy,data/dataset2_mosmed/scribbles/study_0256_slice_018.npy,4.9520484026288614e-05,0.9999936819076538,0.004651552997529507
test,study_0256,19,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0019_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_019.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_019.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_019.npy,data/dataset2_mosmed/scribbles/study_0256_slice_019.npy,4.005122900707647e-05,0.9999896287918091,0.004832219798117876
test,study_0256,20,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0020_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_020.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_020.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_020.npy,data/dataset2_mosmed/scribbles/study_0256_slice_020.npy,8.556310785934329e-05,0.44514304399490356,0.0015065153129398823
test,study_0256,21,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0021_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_021.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_021.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_021.npy,data/dataset2_mosmed/scribbles/study_0256_slice_021.npy,0.00010380394087405875,0.999846875667572,0.0030667982064187527
test,study_0256,22,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0022_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_022.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_022.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_022.npy,data/dataset2_mosmed/scribbles/study_0256_slice_022.npy,7.758362335152924e-05,0.9998094439506531,0.0047568390145897865
test,study_0256,23,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0023_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_023.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_023.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_023.npy,data/dataset2_mosmed/scribbles/study_0256_slice_023.npy,5.976231477688998e-05,0.9999995827674866,0.005114783067256212
test,study_0256,24,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0024_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_024.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_024.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_024.npy,data/dataset2_mosmed/scribbles/study_0256_slice_024.npy,4.076350887771696e-05,0.9999982118606567,0.0036601866595447063
test,study_0256,25,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0025_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_025.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_025.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_025.npy,data/dataset2_mosmed/scribbles/study_0256_slice_025.npy,2.640585444169119e-05,0.9999996423721313,0.011497215367853642
test,study_0256,26,outputs_dataset2/predictions/mosmed_teacher_highsens_tta_probabilities/test/study_0256_slice_0026_teacher_prob.npy,data/dataset2_mosmed/processed/images/study_0256_slice_026.npy,data/dataset2_mosmed/processed/infection_masks/study_0256_slice_026.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_026.npy,data/dataset2_mosmed/scribbles/study_0256_slice_026.npy,9.302711077907588e-06,0.9999995827674866,0.019550811499357224
